Colony,ROI,x,y,event,behaviour_type,time_in_video,cut_video_start,time,time_s,cut_video_start_s,time_from_video_start,n_stones,pixel/mm,radius_mm,stone_density,stone_size,notes
R29,1,1281,903,deposition,deposition,00:30:42,01:54:30,02:25:12,8712,6870,1842,0,11.8,6.355932203,0,,
R29,1,1281,903,deposition,deposition,00:37:43,01:54:30,02:32:13,9133,6870,2263,1,11.8,6.355932203,0.007879372,,
R29,1,1281,903,re-arrangement,,00:58:04,01:54:30,02:52:34,10354,6870,3484,2,11.8,6.355932203,0.015758744,,
R29,3,999,729,re-arrangement,,00:03:21,01:54:30,01:57:51,7071,6870,201,2,11.8,6.355932203,0.015758744,initial density,
R29,3,999,729,pick-up,pick-up,00:05:27,01:54:30,01:59:57,7197,6870,327,2,11.8,6.355932203,0.015758744,,
R29,3,999,729,deposition,with_arrangement,00:19:00,01:54:30,02:13:30,8010,6870,1140,1,11.8,6.355932203,0.007879372,,
R29,2,750,1296,deposition,deposition,00:00:45,01:54:30,01:55:15,6915,6870,45,0,11.8,6.355932203,0,,
R29,2,750,1296,deposition,deposition,00:07:09,01:54:30,02:01:39,7299,6870,429,1,11.8,6.355932203,0.007879372,,
R29,2,750,1296,deposition,deposition,00:20:21,01:54:30,02:14:51,8091,6870,1221,2,11.8,6.355932203,0.015758744,,
R29,2,750,1296,deposition,with_arrangement,00:22:02,01:54:30,02:16:32,8192,6870,1322,3,11.8,6.355932203,0.023638117,,
R29,2,750,1296,deposition,with_arrangement,00:31:03,01:54:30,02:25:33,8733,6870,1863,4,11.8,6.355932203,0.031517489,,
R29,2,750,1296,pick-up,pick-up,00:36:07,01:54:30,02:30:37,9037,6870,2167,5,11.8,6.355932203,0.039396861,,
R29,2,750,1296,deposition,deposition,00:55:30,01:54:30,02:50:00,10200,6870,3330,4,11.8,6.355932203,0.031517489,,
R29,2,750,1296,deposition,deposition,01:07:30,01:54:30,03:02:00,10920,6870,4050,5,11.8,6.355932203,0.039396861,,
R29,2,750,1296,deposition,with_arrangement,01:07:28,01:54:30,03:01:58,10918,6870,4048,6,11.8,6.355932203,0.047276233,,
R29,2,750,1296,re-arrangement,,01:08:05,01:54:30,03:02:35,10955,6870,4085,7,11.8,6.355932203,0.055155605,,
R29,2,750,1296,deposition,with_arrangement,01:09:32,01:54:30,03:04:02,11042,6870,4172,7,11.8,6.355932203,0.055155605,,
R29,2,750,1296,deposition,deposition,01:10:24,01:54:30,03:04:54,11094,6870,4224,8,11.8,6.355932203,0.063034977,,
R29,2,750,1296,deposition,deposition,01:17:05,01:54:30,03:11:35,11495,6870,4625,9,11.8,6.355932203,0.07091435,,
R29,2,750,1296,re-arrangement,,01:23:22,01:54:30,03:17:52,11872,6870,5002,10,11.8,6.355932203,0.078793722,,
R29,2,750,1296,re-arrangement,,01:24:50,01:54:30,03:19:20,11960,6870,5090,10,11.8,6.355932203,0.078793722,,
R29,1,1281,903,deposition,dragging,00:16:00,03:33:02,03:49:02,13742,12782,960,2,11.8,6.355932203,0.015758744,L,
