"Colony","ROI","x","y","event","behaviour_type","time_in_video","cut_video_start","time","time_s","cut_video_start_s","time_from_video_start","n_stones","pixel/mm","radius_mm","stone_density","stone_size","notes","cluster_area_1.5-ant","standardised_cluster_area_1.5-ant","n_ants_in_cluster_1.5-ant","standardised_n_ants_in_cluster_1.5-ant","X_centroid_1.5-ant","Y_centroid_1.5-ant","cluster_density_1.5-ant","measurer","normalised time"
"R29","1",1281,903,"deposition","deposition",00:30:42,01:54:30,02:25:12,8712,6870,1842,0,11.8,6.355932203,0,NA,NA,3249.58802927386,1.96246056810257,73,-0.072358638848857,968.422,1253.729,0.0224643860521336,"2",1797
"R29","1",1281,903,"deposition","deposition",00:37:43,01:54:30,02:32:13,9133,6870,2263,1,11.8,6.355932203,0.007879372,NA,NA,3249.58802927386,1.96246056810257,73,-0.072358638848857,968.422,1253.729,0.0224643860521336,"2",2218
"R29","1",1281,903,"re-arrangement",NA,00:58:04,01:54:30,02:52:34,10354,6870,3484,2,11.8,6.355932203,0.015758744,NA,NA,2923.75808164766,-0.545480663139855,69,-0.962926501604013,1014.997,1236.153,0.0235997637537493,"2",3439
"R29","3",999,729,"re-arrangement",NA,00:03:21,01:54:30,01:57:51,7071,6870,201,2,11.8,6.355932203,0.015758744,"initial density",NA,3106.15808998834,0.858467945111888,67,-1.40821043298159,992.126,1240.583,0.0215700547296521,"2",156
"R29","3",999,729,"pick-up","pick-up",00:05:27,01:54:30,01:59:57,7197,6870,327,2,11.8,6.355932203,0.015758744,NA,NA,3106.15808998834,0.858467945111888,67,-1.40821043298159,992.126,1240.583,0.0215700547296521,"2",282
"R29","3",999,729,"deposition","with_arrangement",00:19:00,01:54:30,02:13:30,8010,6870,1140,1,11.8,6.355932203,0.007879372,NA,NA,3244.12024438059,1.9203745558213,72,-0.295000604537646,1005.835,1219.335,0.022193998550059,"2",1095
"R29","2",750,1296,"deposition","deposition",00:00:45,01:54:30,01:55:15,6915,6870,45,0,11.8,6.355932203,0,NA,NA,3106.15808998834,0.858467945111888,67,-1.40821043298159,992.126,1240.583,0.0215700547296521,"2",0
"R29","2",750,1296,"deposition","deposition",00:07:09,01:54:30,02:01:39,7299,6870,429,1,11.8,6.355932203,0.007879372,NA,NA,3106.15808998834,0.858467945111888,67,-1.40821043298159,992.126,1240.583,0.0215700547296521,"2",384
"R29","2",750,1296,"deposition","deposition",00:20:21,01:54:30,02:14:51,8091,6870,1221,2,11.8,6.355932203,0.015758744,NA,NA,3244.12024438059,1.9203745558213,72,-0.295000604537646,1005.835,1219.335,0.022193998550059,"2",1176
"R29","2",750,1296,"deposition","with_arrangement",00:22:02,01:54:30,02:16:32,8192,6870,1322,3,11.8,6.355932203,0.023638117,NA,NA,3244.12024438059,1.9203745558213,72,-0.295000604537646,1005.835,1219.335,0.022193998550059,"2",1277
"R29","2",750,1296,"deposition","with_arrangement",00:31:03,01:54:30,02:25:33,8733,6870,1863,4,11.8,6.355932203,0.031517489,NA,NA,3249.58802927386,1.96246056810257,73,-0.072358638848857,968.422,1253.729,0.0224643860521336,"2",1818
"R29","2",750,1296,"pick-up","pick-up",00:36:07,01:54:30,02:30:37,9037,6870,2167,5,11.8,6.355932203,0.039396861,NA,NA,3249.58802927386,1.96246056810257,73,-0.072358638848857,968.422,1253.729,0.0224643860521336,"2",2122
"R29","2",750,1296,"deposition","deposition",00:55:30,01:54:30,02:50:00,10200,6870,3330,4,11.8,6.355932203,0.031517489,NA,NA,2923.75808164766,-0.545480663139855,69,-0.962926501604013,1014.997,1236.153,0.0235997637537493,"2",3285
"R29","2",750,1296,"deposition","deposition",01:07:30,01:54:30,03:02:00,10920,6870,4050,5,11.8,6.355932203,0.039396861,NA,NA,2923.75808164766,-0.545480663139855,69,-0.962926501604013,1014.997,1236.153,0.0235997637537493,"2",4005
"R29","2",750,1296,"deposition","with_arrangement",01:07:28,01:54:30,03:01:58,10918,6870,4048,6,11.8,6.355932203,0.047276233,NA,NA,2923.75808164766,-0.545480663139855,69,-0.962926501604013,1014.997,1236.153,0.0235997637537493,"2",4003
"R29","2",750,1296,"re-arrangement",NA,01:08:05,01:54:30,03:02:35,10955,6870,4085,7,11.8,6.355932203,0.055155605,NA,NA,2923.75808164766,-0.545480663139855,69,-0.962926501604013,1014.997,1236.153,0.0235997637537493,"2",4040
